N	eps_F	eps_C	eps_E
0.00025427020260535298	0.00021651638240614601	0.00000000264582739246	0.00000000004794892741
0.00019070265195401473	0.00016238528696432464	0.00000000146765963597	0.00000000015238844958
0.00014302698896551106	0.00012178780972714799	0.00000000075330476690	0.00000000016669603837
0.00010727024172413330	0.00009134018461483040	0.00000000044722594206	0.00000000032186461891
0.00008045268129309997	0.00006850486055748911	0.00000000032595259539	0.00000000006069543320
0.00006033951096982498	0.00005137845733419993	0.00000000002560395371	0.00000000018064010530
0.00004525463322736874	0.00003853382024830375	0.00000000022390731849	0.00000000013346952686
0.00003394097492052656	0.00002890033516645923	0.00000000023474127835	0.00000000082467235108
0.00002545573119039492	0.00002167511086498672	0.00000000002580566669	0.00000000000864690889
0.00001909179839279619	0.00001625630227667934	0.00000000076366272800	0.00000000073303831382
0.00001431884879459714	0.00001219196304201614	0.00000000024694315912	0.00000000022652673683
0.00001073913659594786	0.00000914390416561777	0.00000000024183894392	0.00000000029628259052
0.00000805435244696089	0.00000685785915750683	0.00000000150035029259	0.00000000318178358200
0.00000604076433522067	0.00000514390783261074	0.00000000031166890520	0.00000000031166890520
0.00000453057325141550	0.00000385800274243292	0.00000000036006313592	0.00000000802825586498
0.00000339792993856163	0.00000289149096013378	0.00000000242487999258	0.00000000875954519579
0.00000254844745392122	0.00000216957933050257	0.00000000522098618005	0.00000000969158059161
0.00000191133559044091	0.00000162891274512941	0.00000000596343878907	0.00000001407293301865
0.00000143350169283069	0.00000121958190145910	0.00000000095434594676	0.00000002514901904690
0.00000107512626962301	0.00000092092269779281	0.00000000758215359572	0.00000002749424324469
0.00000080634470221726	0.00000068775982782825	0.00000000118694577882	0.00000000118694577882
0.00000060475852666295	0.00000051618458486144	0.00000000100567247019	0.00000006135236630849
0.00000045356889499721	0.00000037164928586881	0.00000001458383733411	0.00000006920474183654
0.00000034017667124791	0.00000029575616921324	0.00000003553098201714	0.00000007618712339756
0.00000025513250343593	0.00000020981916491316	0.00000000760145577310	0.00000014135601840551
